fonte_recursos,tipo_receita,descricao,arrecadado
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180213 - ICMS - DIVIDA ATIVA,1807508819.34
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180214 - ICMS - DIVIDA ATIVA - MULTAS E JUROS,553017110.44
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180221 - ADIC. ICMS-FUNDO EST. COMB. POBREZA PRINCIPA,696063871.22
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180222 - ADIC.ICMS-FUNDO.EST.COMB.POBREZA MULTA /JURO,159345.51
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11220111 - TAXA PELA  PRESTACAO DE SERVICOS-PRINCIPAL,4360882904.65
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11220113 - TAXAS PELA PRESTACAO DE SERVICOS-DIVIDA ATIV,1245193.71
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11220114 - TX PRESTACAO SERVICOS-DIV. ATIVA-MULTAS/JURO,407269.52
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,"11220211 - EMOLUMENTOS,CUSTAS JUDICIAIS - PRINCIPAL",378327459.80
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11280111 - TAXA DE FISCALIZACAO DE VIGIL,3982496.76
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11389911 - OUTRAS CONTRIBUICOES DE MELHORIA,3 9
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,13100111 - ALUGUEIS E ARRENDAMENTOS - PRINCIPAL,3055808.08
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,13210011 - REMUNERACAO  DEPOSITOS BANCARIOS - PRINCIPAL,707403202.29
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,13210041 - REMUNERACAO RECURSOS RPPS-PRINCIPAL,6113.94
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,13210061 - JUROS SOBRE O CAPITAL PROPRIO - PRINCIPAL,570807015.25
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,13220011 - DIVIDENDOS - PRINCIPAL,208650721.85
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,13310311 - DELEG.P/PREST.DOS SERV.DE TRANSP.METROV-PRIN,5255629.84
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,13320111 - DELEG.EXPL. TRANSP.RODOV.SETOR PRIVADO-PRINC,226111.10
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,13600111 - CESSAO DIREITO OPERACIONAL.PAGTOS- PRINCIPAL,1033113234.01
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,16400111 - RETORNO OPERACOES/JUROS/ ENC.FIN.-PRINCIPAL,627709.77
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,16909911 - OUTROS SERVICOS - PRINCIPAL,7850.29
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,17180111 - COTA-PARTE FDO PARTICIPACAO  EST/DF-PRINCIPA,960716946.51
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,17180161 - COTA-PARTE IPI-ESTADO EXP.PROD.IND- PRINCIPA,802778522.61
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,17180181 - COTA-PARTE IOF-IMP.OPER.FINANCEIRA- PRINCIPA,349778.63
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,17180351 - TRANSFERENCIA REC.SUS-GESTAO SUS - PRINCIPAL,2490 10
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,17189911 - OUTRAS TRANSFERENCIAS DA UNIAO - PRINCIPAL,308197299.20
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,17289911 - OUTRAS TRANSFERENCIAS DOS ESTADOS - PRINCIPA,2.85
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19100111 - MULTAS PREVISTAS LEG. ESPECIFICA-PRINCIPAL,21972679.85
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19229911 - OUTRAS RESTITUIC,28016.35
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19280111 - INDENIZAC,250830.99
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19280291 - OUTRAS RESTITUICOES-ESPECIF.E/DF/M-PRINCIPAL,235946815.49
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19280311 - RESSARCIMENTO-ESPECIF.E/DF/M-PRINCIPAL,9884963.00
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19909911 - OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL,143888186.35
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19909912 - OUTRAS RECEITAS - PRIMARIAS - MULTAS E JUROS,4289.36
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19909913 - OUTRAS RECEITAS - PRIMARIAS - DIVIDA ATIVA,3903171.51
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19909914 - OUTRAS REC-PRIMARIAS-DIV.ATIVA-MULTAS/JUROS,114006.37
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,19909921 - OUTRAS RECEITAS - FINANCEIRAS - PRINCIPAL,0
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,22130011 - ALIENACAO BENS MOVEIS/SEMOVENTES- PRINCIPAL,229090055.67
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,22180121 - ALIENACAO INVESTIMENTOS PERMANENTES-PRINCIPA,11.43
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,22200011 - ALIENACAO DE BENS IMOVEIS - PRINCIPAL,1347336.89
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,23000611 - AMORTIZACAO EMPRESTIMO CONTRATUAL-PRINCIPAL,1536149.52
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,29900011 - DEMAIS RECEITAS DE CAPITAL - PRINCIPAL,2841347437.10
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,79229911 - OUTRAS RESTITUICOES-PRINC INTRAORCAMENTARIAS,0
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,89100011 - INTEGRALIZACAO CAPITAL SOCIAL-PRINCIPAL INTR,0
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11130111 - IRRF - IMP.RENDA PESSOA FISICA-PRINCIPAL,11386.74
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11180121 - IPVA - IMP. PROPR. VEIC. AUTOM  - PRINCIPAL,8202995933.47
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11180122 - IPVA - MULTAS E  JUROS,6927.39
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11180123 - IPVA - DIVIDA ATIVA,235614546.73
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11180124 - IPVA - MULTA E JUROS-DIVIDA ATIVA,401195.68
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11180211 - ICMS - PRINCIPAL,35750515876.59
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11180212 - ICMS - MULTAS E JUROS,554867021.69
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11180213 - ICMS - DIVIDA ATIVA,602502939.79
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11180214 - ICMS - DIVIDA ATIVA - MULTAS E JUROS,184339036.82
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11220111 - TAXA PELA  PRESTACAO DE SERVICOS-PRINCIPAL,991807267.56
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11220113 - TAXAS PELA PRESTACAO DE SERVICOS-DIVIDA ATIV,2919700.05
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11220114 - TX PRESTACAO SERVICOS-DIV. ATIVA-MULTAS/JURO,950470.92
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,"11220211 - EMOLUMENTOS,CUSTAS JUDICIAIS - PRINCIPAL",894731275.48
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,11280191 - TAXAS DE INSPEC.CONTROLE E FISCALIZAC -OUTRA,31638.83
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,12109911 - OUTRAS CONTRIBUIC,22906039.53
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,12180111 - CPSSS - SERVIDOR CIVIL  ATIVO - PRINCIPAL,29146893.48
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,12180113 - CONTRIB.REG.GER.PREV.SOC-RGPS-DIVIDA ATIVA,150285.63
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,13210011 - REMUNERACAO  DEPOSITOS BANCARIOS - PRINCIPAL,46029392.34
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,13310211 - DELEG.P/PREST.SERV.TRANSP.FERROVIARIO-PRINC,35717.18
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,13310311 - DELEG.P/PREST.DOS SERV.DE TRANSP.METROV-PRIN,3229480.40
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,13320111 - DELEG.EXPL. TRANSP.RODOV.SETOR PRIVADO-PRINC,0
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,16100111 - SERVICO ADMINISTRATIVO/COML.GERAL -PRINCIPAL,1491644.76
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,16909911 - OUTROS SERVICOS - PRINCIPAL,210250633.38
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,17180161 - COTA-PARTE IPI-ESTADO EXP.PROD.IND- PRINCIPA,267592840.93
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,17180211 - COTA-PARTE COMPENSACAO FIN.REC. HIDRICO-PRIN,55235470.48
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,17180221 - COTA-PARTE COMPENSACAO FIN.REC.MINERAL-PRINC,8055862.69
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,17180231 - COTA-PARTE ROYALTIE-COMP.FIN.PROD.PETR-PRINC,683579087.04
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,17180251 - COTA-PARTE ROYALTIE-PART.ESPECIAL-PRINCIPAL,1589590436.25
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19100111 - MULTAS PREVISTAS LEG. ESPECIFICA-PRINCIPAL,1338959707.58
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19100611 - MULTA ADM.POR DANOS AMBIENTAIS-PRINCIPAL,7567924.78
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19280111 - INDENIZAC,307.05
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19280291 - OUTRAS RESTITUICOES-ESPECIF.E/DF/M-PRINCIPAL,1311941.53
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19280311 - RESSARCIMENTO-ESPECIF.E/DF/M-PRINCIPAL,2066855.90
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19909911 - OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL,520812.27
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19909913 - OUTRAS RECEITAS - PRIMARIAS - DIVIDA ATIVA,145796095.41
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19909914 - OUTRAS REC-PRIMARIAS-DIV.ATIVA-MULTAS/JUROS,3032507.55
002 - RECURSOS VINCULADOS ESTADUAIS,Receita,19909921 - OUTRAS RECEITAS - FINANCEIRAS - PRINCIPAL,0
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,11130311 - IRRF-IMP. RENDA RET. FTE-TRABALHO-PRINCIPAL,7010158.42
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,11130341 - IRRF-OUTROS RENDIMENTOS-PRINCIPAL,1095.00
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,11210411 - TAXA CONTROLE E FISCALIZ.AMBIENTAL-PRINCIPAL,21107237.56
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,11220111 - TAXA PELA  PRESTACAO DE SERVICOS-PRINCIPAL,480456620.99
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,"11220211 - EMOLUMENTOS,CUSTAS JUDICIAIS - PRINCIPAL",0
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,12109911 - OUTRAS CONTRIBUIC,1199707775.49
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,13100111 - ALUGUEIS E ARRENDAMENTOS - PRINCIPAL,22130333.28
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,13109911 - OUTRAS RECEITAS IMOBILIARIAS - PRINCIPAL,6516187.38
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,13210011 - REMUNERACAO  DEPOSITOS BANCARIOS - PRINCIPAL,250762507.21
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,13290011 - OUTROS VALORES MOBILIARIOS - PRINCIPAL,5723213.53
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,13310211 - DELEG.P/PREST.SERV.TRANSP.FERROVIARIO-PRINC,384396.57
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,13320111 - DELEG.EXPL. TRANSP.RODOV.SETOR PRIVADO-PRINC,4196824.16
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,13600111 - CESSAO DIREITO OPERACIONAL.PAGTOS- PRINCIPAL,2395883031.14
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,14000011 - RECEITA AGROPECUARIA - PRINCIPAL,5093465.03
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,15000011 - RECEITA INDUSTRIAL - PRINCIPAL,8281133.10
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,16100111 - SERVICO ADMINISTRATIVO/COML.GERAL -PRINCIPAL,63888990.65
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,16100211 - INSCRICAO CONCURSO/PROC.SELETIVOS- PRINCIPAL,36980698.23
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,16200111 - SERVICOS DE NAVEGACAO - PRINCIPAL,3928726.51
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,16200211 - SERVICOS DE TRANSPORTE - PRINCIPAL,1772612.33
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,16380111 - SERVICOS HOSPITALARES - PRINCIPAL,13722.05
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,16380121 - SERV.REGISTRO ANALISE E CONTROLE- PRINCIPAL,199915.28
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,16909911 - OUTROS SERVICOS - PRINCIPAL,298571751.89
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,17481011 - OUTRA TRANSF.INST.PRIV. AO E/DF/M-PRINCIPAL,52960273.65
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,17781011 - OUTRA TRANSF.CONV.EXTERIOR-ESPEC E/DF/M-PRIN,2089869.57
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19100111 - MULTAS PREVISTAS LEG. ESPECIFICA-PRINCIPAL,31610790.29
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19100611 - MULTA ADM.POR DANOS AMBIENTAIS-PRINCIPAL,30672811.73
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19100811 - MULTAS DECORRENTES SENTENCAS JUD-PRINCIPAL,12904037.31
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19210111 - INDENIZACAO DANOS CAUSADOS A PATRIM.PUB-PRIN,33309989.61
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19221011 - RESTITUICAO DECOR. NAO APLIC.INC.FISCAL-PRIN,3574926.30
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19229911 - OUTRAS RESTITUIC,1389.62
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19280111 - INDENIZAC,738676.62
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19280291 - OUTRAS RESTITUICOES-ESPECIF.E/DF/M-PRINCIPAL,119218233.99
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19901211 - ENCARGOS LEGAIS INSCR. DIV.ATIVA-PRINCIPAL,216857209.57
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19901221 - ONUS DE SUCUMBENCIA - PRINCIPAL,97551.55
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19909911 - OUTRAS RECEITAS - PRIMARIAS - PRINCIPAL,97284676.06
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19909913 - OUTRAS RECEITAS - PRIMARIAS - DIVIDA ATIVA,21909279.43
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19909914 - OUTRAS REC-PRIMARIAS-DIV.ATIVA-MULTAS/JUROS,60315.34
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,19909921 - OUTRAS RECEITAS - FINANCEIRAS - PRINCIPAL,0
003 - RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES,Receita,22130011 - ALIENACAO BENS MOVEIS/SEMOVENTES- PRINCIPAL,7688498.75
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,11220111 - TAXA PELA  PRESTACAO DE SERVICOS-PRINCIPAL,1561242.11
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,11280191 - TAXAS DE INSPEC.CONTROLE E FISCALIZAC -OUTRA,69996622.87
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12100611 - CONTRIB.FDO ASSIST.MED.POL.MILITAR- PRINCIPA,214881924.13
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12100631 - CONTRIB.FDO ASSIST.MED.SERV.CIVIL- PRINCIPAL,849245600.64
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12100691 - CONTRIB.FDO ASSIST.MED.OUTRO BENEF- PRINCIPA,104489562.18
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12109911 - OUTRAS CONTRIBUIC,0
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12180111 - CPSSS - SERVIDOR CIVIL  ATIVO - PRINCIPAL,3029161327.28
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12180112 - CONTRIB.SERV.ATIVO CIVIL-RPPS - MULTAS/ JURO,1716.48
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12180121 - CPSSS-SERV.CIVIL INATIVO - PRINCIPAL,674498550.71
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12180131 - CPSSS-SERV.CIVIL PENSIONISTA - PRINCIPAL,189042129.79
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12180141 - CPSSS DE SENT.JUDICIAIS-SERV.CIVIL ATIVO,111876755.07
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12180511 - CONTRIBUICAO DO MILITAR ATIVO - PRINCIPAL,573823046.29
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12180521 - CONTRIBUICAO DO MILITAR INATIVO - PRINCIPAL,208369341.36
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,12180531 - CONTRIB. DOS PENSIONIS. MILITARES - PRINCIPA,67073934.64
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,13100111 - ALUGUEIS E ARRENDAMENTOS - PRINCIPAL,103788822.82
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,13210011 - REMUNERACAO  DEPOSITOS BANCARIOS - PRINCIPAL,296789491.90
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,13210041 - REMUNERACAO RECURSOS RPPS-PRINCIPAL,18498969.71
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,13220011 - DIVIDENDOS - PRINCIPAL,350548.80
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,13320111 - DELEG.EXPL. TRANSP.RODOV.SETOR PRIVADO-PRINC,434193298.02
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,13320411 - DELEGACAO EXPL.INFRA AEROPORTUARIA-PRINCIPAL,26964064.50
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,13450111 - OUTORGA DIREITO USO REC. HIDRICOS-PRINCIPAL,2761855.93
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,13600111 - CESSAO DIREITO OPERACIONAL.PAGTOS- PRINCIPAL,9175496.36
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,14000011 - RECEITA AGROPECUARIA - PRINCIPAL,10627365.74
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,15000011 - RECEITA INDUSTRIAL - PRINCIPAL,112926178.35
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,16100111 - SERVICO ADMINISTRATIVO/COML.GERAL -PRINCIPAL,53054362.60
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,16100211 - INSCRICAO CONCURSO/PROC.SELETIVOS- PRINCIPAL,5753321.01
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,"16100311 - SERVICO REGISTRO,CERTIFIC,FISCAL.- PRINCIPAL",1419454.26
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,16200211 - SERVICOS DE TRANSPORTE - PRINCIPAL,1538119546.55
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,16380111 - SERVICOS HOSPITALARES - PRINCIPAL,3992508.08
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,16380191 - OUTROS SERVICOS DE SAUDE - PRINCIPAL,484421400.65
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,16400111 - RETORNO OPERACOES/JUROS/ ENC.FIN.-PRINCIPAL,2428693.02
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,16909911 - OUTROS SERVICOS - PRINCIPAL,643316170.83
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,17281021 - TRANSF.CONVENIO ESTADO AO PROG.EDUCACAO-PRIN,658227.70
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,17281091 - OUTRAS TRANSF.CONVENIOS ESTADO-PRINCIPAL,6186776.80
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,17289911 - OUTRAS TRANSFERENCIAS DOS ESTADOS - PRINCIPA,16899518.10
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,17389911 - OUTRAS TRANSFERERENCIAS MUNIC. - PRINCIPAL,628759.56
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,17481011 - OUTRA TRANSF.INST.PRIV. AO E/DF/M-PRINCIPAL,124318817.64
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,17681011 - OUTRAS TRANSF.CONVENIOS EXTERIOR-PRINCIPAL,22430.59
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,17781011 - OUTRA TRANSF.CONV.EXTERIOR-ESPEC E/DF/M-PRIN,45327.74
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,19100111 - MULTAS PREVISTAS LEG. ESPECIFICA-PRINCIPAL,77341242.59
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,19100611 - MULTA ADM.POR DANOS AMBIENTAIS-PRINCIPAL,28533100.00
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,19100911 - MULTAS JUROS PREVISTOS EM CONTRATOS-PRINCIPA,351048.07
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,19210111 - INDENIZACAO DANOS CAUSADOS A PATRIM.PUB-PRIN,116502.61
004 - REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.,Receita,19229911 - OUTRAS RESTITUIC,9721809.09
